Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Primary Property Type - Self Selected
10036,In Compliance ,108.8,106.4,253.1,249,31,1190.2,345.2,845,Hotel
10032,In Compliance ,253.4,246.9,426.7,419,20,4573.1,0,4573.1,Office
10001,In Compliance ,74.9,70.1,162.4,158.3,78,698.5,302.6,395.9,Office
10001,In Compliance ,82.2,80.7,187.7,186.4,39,1249.9,385.1,864.8,K-12 School
10013,In Compliance ,77,74.4,115.5,112.5,79,557.6,390.4,167.2,Multifamily Housing
10001,In Compliance ,81.1,79.1,193.1,190.9,79,10263.2,0,10263.2,Office
10016,In Compliance ,118.2,116.8,269.6,267.9,55,7773.2,31.6,7741.6,Office
11373,In Compliance ,63.1,62.6,179,178.9,80,1013.5,99.5,914.1,Retail Store
10017,In Compliance ,80.6,78.6,210.5,207.5,79,3056.8,104.1,2952.8,Financial Office
10019,In Compliance ,113.2,110.7,276.4,272.8,64,7389.9,1.1,7388.8,Office
10019,In Compliance ,80.4,77.1,181.8,177.6,77,1396.3,0,1396.3,Office
10014,In Compliance ,67.4,66.1,187.5,185.9,81,5887.4,0,5887.4,Office
10036,In Compliance ,115.1,114.9,228,227.3,63,15118.2,0,15118.2,Office
10017,In Compliance ,91.5,90,227.7,226.1,84,4445.4,0,4445.4,Office
10010,In Compliance ,77.7,76.2,203.6,201.9,90,15889.6,221.5,15668.1,Office
10019,In Compliance ,79.9,78.9,224.7,223.9,71,4074.9,432.9,3642,Office
10017,In Compliance ,61.9,59.4,159.7,157.1,88,1239.1,0,1239.1,Office
10005,In Compliance ,121.7,118.8,257.7,252.9,57,9435.6,0,9435.6,Office
10022,In Compliance ,114.5,112,231.5,228.1,61,3611.1,0,3611.1,Office
10022,In Compliance ,66.4,63.9,181.1,177.6,82,1733.9,0,1733.9,Office
10004,In Compliance ,106.6,104.6,246.8,243.8,65,3319.8,0,3319.8,Office
10004,In Compliance ,106.8,103.9,223.3,219.9,67,2606.4,0,2606.4,Office
10022,In Compliance ,106.4,104.2,223.8,221.1,68,2698.7,0,2698.7,Office
10004,In Compliance ,136.2,133.5,281,277.8,46,8637.6,0,8637.6,Office
10022,In Compliance ,110.3,108.4,311.3,309,82,3264.6,62.2,3202.3,Office
10018,In Compliance ,76,71.9,179.3,174.6,80,4711.5,1475.8,3235.7,Office
10005,In Compliance ,66.2,63.4,171.4,167.8,88,9874.1,110.9,9763.2,Office
10017,In Compliance ,85.3,82.9,230.4,228,76,1682.7,0,1682.7,Office
10022,In Compliance ,109.8,107.2,291.2,288,44,871,0,871,Office
10022,In Compliance ,81.4,79.4,217.4,215.3,76,3981.2,0,3981.2,Office
10017,In Compliance ,68.3,67.1,193,191.9,81,1332.9,0,1332.9,Office
